,0,length
0,"[1, 23, 4, 1927, 499, 12, 1054, 198, 4, 64, 155, 14, 20, 47, 170, 18, 12, 7, 265, 10, 10, 14, 9, 4, 249, 20, 13, 28, 126, 110, 5, 207, 110, 49, 78, 663, 14, 20, 9, 165, 38, 527, 13, 435, 5, 1194, 61, 675, 18, 476, 7, 4, 581, 351, 8, 6, 241, 43, 18, 24, 112, 2, 10, 10, 4119, 31, 7995, 675, 216, 19, 72, 8, 160, 20, 48, 25, 181, 8, 412]",79
1,"[1, 13, 92, 124, 51, 4, 1188, 7, 14, 22, 71, 269, 8, 345, 5283, 42, 135, 21, 36, 913, 1196, 33, 845, 12, 16, 894, 7, 265, 4, 3258, 16, 8, 484, 8103, 4, 529, 13, 296, 14, 20, 331, 88, 2266, 5123, 16, 11, 12, 5, 12, 679, 46, 15, 59, 69, 6, 4139, 74, 392, 2055, 11, 12, 4, 226, 326, 7, 260, 14, 554, 140, 23, 49, 1358, 519, 1189, 8, 1176, 6, 194, 278, 4505, 39, 6, 2551, 1709, 500, 5, 909, 56, 19, 32, 2580, 7, 2, 9, 1254, 647]",96
2,"[1, 710, 910, 22, 44, 6, 1170, 1475, 37, 2507, 2147, 6, 2, 15, 166, 183, 2504, 24, 6, 78, 326, 5, 49, 7, 4, 318, 302, 26, 184, 52, 131, 4, 229, 9, 55, 78, 32, 4, 640, 4060, 5, 4, 116, 9, 2320, 9982, 269, 8, 30, 163, 5, 507, 24, 6, 147, 357, 379, 910, 22, 21, 12, 16, 253, 319, 3199, 2609, 38, 185]",68
3,"[1, 48, 25, 235, 40, 3121, 2, 234, 23, 6, 22, 15, 166, 57, 281, 9, 913, 398, 19, 6, 78, 114, 5, 78, 116, 95, 14, 117, 1528, 9, 18, 25, 1178, 18, 148, 37, 26, 44, 8, 809, 2359, 678, 8236, 80, 30, 421, 34, 4, 4141, 529, 81, 24, 990, 8, 67, 14, 20]",57
4,"[1, 13, 219, 14, 159, 3821, 33, 4, 2, 22, 1413, 11, 2, 285, 44, 12, 9, 345, 2, 4, 2404, 8, 42, 340, 5993, 125, 1756, 3555, 13, 510, 12, 2935, 60, 48, 12, 9, 576, 6277, 51, 91, 1555, 72, 16, 4, 489, 7, 4, 2057, 348, 4, 578, 6874, 3592, 352, 4, 270, 1592, 5, 4, 4135, 71, 4412, 5, 204, 261, 4, 229, 407, 16, 24]",70
5,"[1, 4, 8304, 6126, 9, 44, 3327, 2, 27, 704, 21, 29, 66, 218, 11, 4, 20, 99, 76, 4, 293, 1152, 9, 23, 678, 2, 2, 5, 678, 5311, 9445, 2, 2, 2376, 4, 20, 17, 6, 1909, 5, 6, 6735, 82, 17, 6, 8, 17, 497, 8, 2, 37, 9, 4, 132, 2, 8, 4, 698, 2, 47, 8, 855, 19, 4, 698, 4, 884, 1604, 2, 742, 7071, 37, 3631, 27, 175, 847, 5, 119, 2160, 4804, 14, 9, 6, 55, 737, 20]",86
6,"[1, 239, 9, 55, 1332, 12, 186, 59, 9, 269, 8, 97, 56, 18, 41, 583, 7, 1426, 34, 2, 2, 138, 4, 1479, 675, 1687, 9, 724, 72, 50, 9, 57, 1006, 42, 9147, 119, 139, 4, 114, 9, 154, 5, 1458]",43
7,"[1, 13, 510, 14, 7984, 4233, 12, 9, 4843, 73, 398, 19, 8625, 6511, 354, 5, 1096, 2057, 10, 10, 12, 9, 82, 55, 1265, 5, 1202, 2434, 1079, 8, 4, 2, 5724, 7, 1392, 361, 11, 108, 5, 699, 10, 10, 2, 31, 7, 4, 1885, 699, 287, 7, 1136, 153, 5, 3823, 23, 32, 2, 18, 1308, 470, 10, 10, 790, 158]",64
8,"[1, 13, 28, 4219, 1883, 7, 149, 14, 54, 12, 385, 46, 45, 31, 7, 148, 108, 15, 25, 124, 9, 1916, 60, 54, 335, 6, 554, 21, 33, 15, 559, 25, 4909, 4, 2761, 116, 318, 302, 5, 114, 38, 225, 6, 1522, 7, 194, 2, 2, 581, 2862, 3374, 5, 43, 358, 4, 2723, 1939, 18, 32, 507, 290]",61
9,"[1, 13, 244, 806, 21, 14, 9, 4, 249, 22, 13, 28, 126, 110, 11, 61, 113, 13, 566, 264, 15, 103, 231, 4, 86, 31, 11, 4, 201, 36, 71, 502, 8, 79, 6, 352, 8, 97, 160, 24, 15, 4, 352, 100, 28, 77, 76, 14, 9, 4, 222, 629, 22, 13, 28, 126, 296, 5, 1498, 32, 4, 96, 143, 8, 4, 130, 165, 13, 191, 264, 75, 296, 12, 8, 4, 130, 21, 13, 104, 12, 9, 88, 75, 426, 179, 264, 12]",87
