,0
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,1
214,0
215,1
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,0
230,1
231,1
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,0
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,0
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,1
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,1
466,1
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,0
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,1
491,0
492,0
493,1
494,1
495,0
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,0
517,0
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,0
531,1
532,0
